년월,정부대출금금리
Jan.16,1.664
Feb.16,1.664
Mar.16,1.664
Apr.16,1.602
May.16,1.602
Jun.16,1.602
Jul.16,1.453
Aug.16,1.453
Sep.16,1.453
Oct.16,1.402
Nov.16,1.402
Dec.16,1.402
Jan.17,1.522
Feb.17,1.522
Mar.17,1.522
Apr.17,1.44
May.17,1.44
Jun.17,1.44
Jul.17,1.386
Aug.17,1.386
Sep.17,1.386
Oct.17,1.362
Nov.17,1.362
Dec.17,1.362
Jan.18,1.638
Feb.18,1.638
Mar.18,1.638
Apr.18,1.651
May.18,1.651
Jun.18,1.651
Jul.18,1.652
Aug.18,1.652
Sep.18,1.652
Oct.18,1.685
Nov.18,1.685
Dec.18,1.685
Jan.19,1.851
Feb.19,1.851
Mar.19,1.851
Apr.19,1.867
May.19,1.867
Jun.19,1.867
Jul.19,1.696
Aug.19,1.696
Sep.19,1.696
Oct.19,1.393
Nov.19,1.393
Dec.19,1.393
Jan.20,1.432
Feb.20,1.432
Mar.20,1.432
Apr.20,1.096
May.20,1.096
Jun.20,1.096
Jul.20,0.712
Aug.20,0.712
Sep.20,0.712
Oct.20,0.736
Nov.20,0.736
Dec.20,0.736
Jan.21,0.756
Feb.21,0.756
Mar.21,0.756
Apr.21,0.601
May.21,0.601
Jun.21,0.601
Jul.21,0.603
Aug.21,0.603
Sep.21,0.603
Oct.21,0.87
Nov.21,0.87
Dec.21,0.87
Jan.22,1.1
Feb.22,1.1
Mar.22,1.1
Apr.22,1.316
May.22,1.316
Jun.22,1.316
Jul.22,1.912
Aug.22,1.912
Sep.22,1.912
Oct.22,2.808
Nov.22,2.808
Dec.22,2.808
Jan.23,3.544
Feb.23,3.544
Mar.23,3.544
Apr.23,3.534
May.23,3.534
Jun.23,3.534
Jul.23,3.618
Aug.23,3.618
Sep.23,3.618
Oct.23,3.706
Nov.23,3.706
Dec.23,3.706
Jan.24,3.623
Feb.24,3.623
Mar.24,3.623
Apr.24,3.563
May.24,3.563
Jun.24,3.563
Jul.24,3.543
Aug.24,3.543
Sep.24,3.543
Oct.24,3.302
Nov.24,3.302
Dec.24,3.302
Jan.25,3.069
Feb.25,3.069
Mar.25,3.069
Apr.25,2.817
May.25,2.817
Jun.25,2.817
Jul.25,2.58
Aug.25,2.58
Sep.25,2.58
Oct.25,2.457
Nov.25,2.457
Dec.25,2.457
