연월,한국은행 기준금리,정부대출금금리,국고채(10년)
Jan-16,1.5,1.664,2.025
Feb-16,1.5,1.664,1.826
Mar-16,1.5,1.664,1.854
Apr-16,1.5,1.602,1.81
May-16,1.5,1.602,1.787
Jun-16,1.25,1.602,1.617
Jul-16,1.25,1.453,1.401
Aug-16,1.25,1.453,1.417
Sep-16,1.25,1.453,1.512
Oct-16,1.25,1.402,1.596
Nov-16,1.25,1.402,1.965
Dec-16,1.25,1.402,2.159
Jan-17,1.25,1.522,2.111
Feb-17,1.25,1.522,2.163
Mar-17,1.25,1.522,2.221
Apr-17,1.25,1.44,2.182
May-17,1.25,1.44,2.257
Jun-17,1.25,1.44,2.165
Jul-17,1.25,1.386,2.252
Aug-17,1.25,1.386,2.287
Sep-17,1.25,1.386,2.286
Oct-17,1.25,1.362,2.455
Nov-17,1.5,1.362,2.54
Dec-17,1.5,1.362,2.472
Jan-18,1.5,1.638,2.626
Feb-18,1.5,1.638,2.77
Mar-18,1.5,1.638,2.708
Apr-18,1.5,1.651,2.655
May-18,1.5,1.651,2.757
Jun-18,1.5,1.651,2.656
Jul-18,1.5,1.652,2.549
Aug-18,1.5,1.652,2.458
Sep-18,1.5,1.652,2.315
Oct-18,1.5,1.685,2.338
Nov-18,1.75,1.685,2.209
Dec-18,1.75,1.685,1.992
Jan-19,1.75,1.851,1.991
Feb-19,1.75,1.851,1.988
Mar-19,1.75,1.851,1.953
Apr-19,1.75,1.867,1.889
May-19,1.75,1.867,1.828
Jun-19,1.75,1.867,1.618
Jul-19,1.5,1.696,1.506
Aug-19,1.5,1.696,1.254
Sep-19,1.5,1.696,1.42
Oct-19,1.25,1.393,1.577
Nov-19,1.25,1.393,1.75
Dec-19,1.25,1.393,1.653
Jan-20,1.25,1.432,1.656
Feb-20,1.25,1.432,1.54
Mar-20,0.75,1.432,1.485
Apr-20,0.75,1.096,1.504
May-20,0.5,1.096,1.394
Jun-20,0.5,1.096,1.392
Jul-20,0.5,0.712,1.36
Aug-20,0.5,0.712,1.373
Sep-20,0.5,0.712,1.5
Oct-20,0.5,0.736,1.507
Nov-20,0.5,0.736,1.61
Dec-20,0.5,0.736,1.675
Jan-21,0.5,0.756,1.731
Feb-21,0.5,0.756,1.845
Mar-21,0.5,0.756,2.04
Apr-21,0.5,0.601,2.041
May-21,0.5,0.601,2.131
Jun-21,0.5,0.601,2.103
Jul-21,0.5,0.603,1.976
Aug-21,0.75,0.603,1.905
Sep-21,0.75,0.603,2.061
Oct-21,0.75,0.87,2.399
Nov-21,1,0.87,2.355
Dec-21,1,0.87,2.187
Jan-22,1.25,1.1,2.492
Feb-22,1.25,1.1,2.69
Mar-22,1.25,1.1,2.784
Apr-22,1.5,1.316,3.219
May-22,1.75,1.316,3.295
Jun-22,1.75,1.316,3.64
Jul-22,2.25,1.912,3.3
Aug-22,2.5,1.912,3.322
Sep-22,2.5,1.912,3.897
Oct-22,3,2.808,4.267
Nov-22,3.25,2.808,3.915
Dec-22,3.25,2.808,3.541
Jan-23,3.5,3.544,3.411
Feb-23,3.5,3.544,3.45
Mar-23,3.5,3.544,3.448
Apr-23,3.5,3.534,3.319
May-23,3.5,3.534,3.402
Jun-23,3.5,3.534,3.611
Jul-23,3.5,3.618,3.681
Aug-23,3.5,3.618,3.86
Sep-23,3.5,3.618,3.949
Oct-23,3.5,3.706,4.272
Nov-23,3.5,3.706,3.89
Dec-23,3.5,3.706,3.415
Jan-24,3.5,3.623,3.353
Feb-24,3.5,3.623,3.429
Mar-24,3.5,3.623,3.39
Apr-24,3.5,3.563,3.567
May-24,3.5,3.563,3.527
Jun-24,3.5,3.563,3.337
Jul-24,3.5,3.543,3.171
Aug-24,3.5,3.543,2.999
Sep-24,3.5,3.543,3.011
Oct-24,3.25,3.302,3.07
Nov-24,3,3.302,3.006
Dec-24,3,3.302,2.771
Jan-25,3,3.069,2.821
Feb-25,2.75,3.069,2.83
Mar-25,2.75,3.069,2.795
Apr-25,2.75,2.817,2.658
May-25,2.5,2.817,2.71
Jun-25,2.5,2.817,2.842
Jul-25,2.5,2.58,2.84
Aug-25,2.5,2.58,2.815
Sep-25,2.5,2.58,2.849
Oct-25,2.5,2.457,2.933
Nov-25,2.5,2.457,3.248
Dec-25,2.5,2.457,3.366
